Abastecimento de água - Brasil,,
Moradores por Município e Ano,,
Período:1991,2000,2010
"Município;""1991"";""2000"";""2010""",,
150490 Muaná;22296;25244;34133,,
150495 Nova Esperança do Piriá;-;18225;20064,,
150497 Nova Ipixuna;-;11809;14567,,
150500 Nova Timboteua;9418;11399;13619,,
150503 Novo Progresso;-;21738;24869,,
150506 Novo Repartimento;-;40674;61580,,
150510 Óbidos;42024;45999;48959,,
150520 Oeiras do Pará;18669;23170;28587,,
150530 Oriximiná;40416;47656;62500,,
150540 Ourém;30924;14258;16230,,
150543 Ourilândia do Norte;23153;18807;27096,,
150548 Pacajá;30440;26714;39356,,
150549 Palestina do Pará;-;7512;7409,,
150550 Paragominas;66461;75589;97273,,
150553 Parauapebas;52228;70337;153407,,
150555 Pau D'Arco;-;7089;5996,,
150560 Peixe-Boi;5946;7741;7826,,
150563 Piçarra;-;12532;12594,,
150565 Placas;-;13246;23420,,
150570 Ponta de Pedras;16428;18617;25800,,
150580 Portel;29283;37122;51715,,
150590 Porto de Moz;15377;22912;33426,,
150600 Prainha;26696;26976;29106,,
150610 Primavera;16899;9611;10244,,
150611 Quatipuru;-;10881;12374,,
150613 Redenção;55359;62705;73671,,
150616 Rio Maria;25725;17336;17625,,
150618 Rondon do Pará;40481;38808;46778,,
150619 Rurópolis;19325;24391;39346,,
150620 Salinópolis;22548;33146;36877,,
150630 Salvaterra;11844;14866;20055,,
150635 Santa Bárbara do Pará;-;11306;17096,,
150640 Santa Cruz do Arari;4758;5230;8125,,
150650 Santa Izabel do Pará;33041;42108;56498,,
150655 Santa Luzia do Pará;-;19056;19319,,
150658 Santa Maria das Barreiras;6855;9459;17023,,
150660 Santa Maria do Pará;17790;20715;22950,,
150670 Santana do Araguaia;15430;30631;55063,,
150680 Santarém;264407;260974;293092,,
150690 Santarém Novo;4486;5434;6131,,
150700 Santo Antônio do Tauá;17114;19775;26618,,
150710 São Caetano de Odivelas;21100;15482;16843,,
150715 São Domingos do Araguaia;-;19704;23070,,
150720 São Domingos do Capim;42457;27250;29758,,
150730 São Félix do Xingu;22183;33801;89722,,
150740 São Francisco do Pará;11613;14161;15001,,
150745 São Geraldo do Araguaia;38215;27486;25362,,
150746 São João da Ponta;-;3885;5260,,
150747 São João de Pirabas;16081;17368;20514,,
150750 São João do Araguaia;19584;12040;13114,,
150760 São Miguel do Guamá;32788;41013;51379,,
150770 São Sebastião da Boa Vista;14861;17591;22857,,
150775 Sapucaia;-;3741;5004,,
150780 Senador José Porfírio;28061;15046;12965,,
150790 Soure;17321;19835;22904,,
150795 Tailândia;17508;37244;78641,,
150796 Terra Alta;-;8191;10253,,
150797 Terra Santa;-;14391;16885,,
150800 Tomé-Açu;41133;46758;56146,,
150803 Tracuateua;-;22587;27379,,
150805 Trairão;-;12790;16728,,
150808 Tucumã;29457;25080;33551,,
150810 Tucuruí;81202;73331;96649,,
150812 Ulianópolis;-;18325;43133,,
150815 Uruará;25222;44252;44275,,
150820 Vigia;36973;39835;47813,,
150830 Viseu;62910;50395;56523,,
150835 Vitória do Xingu;-;10197;13256,,
150840 Xinguara;47169;34884;40194,,
160010 Amapá;8050;6965;8021,,
160020 Calçoene;5094;6369;8938,,
160021 Cutias;-;3215;4673,,
160023 Ferreira Gomes;2333;3525;5739,,
160025 Itaubal;-;2861;4219,,
160027 Laranjal do Jari;21132;28328;39699,,
160030 Macapá;177832;281510;395604,,
160040 Mazagão;8480;11580;16954,,
160050 Oiapoque;7440;12520;19912,,
160015 Pedra Branca do Amapari;-;3846;10271,,
160053 Porto Grande;-;10445;16706,,
160055 Pracuúba;-;2230;3771,,
160060 Santana;51000;79766;100806,,
160005 Serra do Navio;-;3273;4363,,
160070 Tartarugalzinho;4630;6996;12500,,
160080 Vitória do Jari;-;8091;12233,,
170025 Abreulândia;-;2147;2389,,
170030 Aguiarnópolis;-;3116;5135,,
170035 Aliança do Tocantins;6836;6152;5658,,
170040 Almas;7454;8130;7497,,
170070 Alvorada;9810;8397;8292,,
170100 Ananás;11705;10493;9818,,
170105 Angico;-;2874;3166,,
170110 Aparecida do Rio Negro;3266;3491;4202,,
170130 Aragominas;-;6140;5866,,
170190 Araguacema;6375;5364;6230,,
170200 Araguaçu;12679;9303;8698,,
170210 Araguaína;102785;112056;149765,,
170215 Araguanã;-;4136;5017,,
170220 Araguatins;27727;25784;31191,,
170230 Arapoema;13915;6868;6696,,
170240 Arraias;12844;10841;10540,,
170255 Augustinópolis;10210;12851;15872,,
170270 Aurora do Tocantins;4566;3015;3419,,
170290 Axixá do Tocantins;9904;8810;9255,,
170300 Babaçulândia;9047;10230;10336,,
170305 Bandeirantes do Tocantins;-;2403;3105,,
170307 Barra do Ouro;-;3520;4105,,
170310 Barrolândia;6502;5067;5253,,
170320 Bernardo Sayão;4312;4536;4425,,
170330 Bom Jesus do Tocantins;-;2298;3749,,
170360 Brasilândia do Tocantins;-;1918;2056,,
170370 Brejinho de Nazaré;6800;4846;5176,,
170380 Buriti do Tocantins;7951;7820;9751,,
170382 Cachoeirinha;-;2006;2136,,
170384 Campos Lindos;-;5595;8098,,
170386 Cariri do Tocantins;-;2803;3378,,
170388 Carmolândia;-;1989;2313,,
170389 Carrasco Bonito;-;3212;3687,,
170390 Caseara;2692;3652;4576,,
170410 Centenário;-;2155;2564,,
170510 Chapada da Natividade;-;2797;3272,,
170460 Chapada de Areia;-;1270;1333,,
170550 Colinas do Tocantins;20895;25079;30622,,
171670 Colméia;8688;9285;8567,,
170555 Combinado;4810;4481;4632,,
170560 Conceição do Tocantins;4954;4307;4178,,
170600 Couto Magalhães;6761;4296;4994,,
170610 Cristalândia;10875;7228;7184,,
170625 Crixás do Tocantins;-;1370;1559,,
170650 Darcinópolis;-;4251;5238,,
170700 Dianópolis;13854;15181;19039,,
170710 Divinópolis do Tocantins;6388;5759;6283,,
170720 Dois Irmãos do Tocantins;7918;7254;7150,,
170730 Dueré;4482;4554;4546,,
170740 Esperantina;-;7545;9460,,
170755 Fátima;4744;3843;3789,,
170765 Figueirópolis;7355;5524;5295,,
170770 Filadélfia;10994;8126;8471,,
170820 Formoso do Araguaia;16896;18766;18363,,
170825 Fortaleza do Tabocão;-;2220;2412,,
170830 Goianorte;5126;4826;4949,,
170900 Goiatins;18121;10654;12030,,
170930 Guaraí;20715;19952;23118,,
170950 Gurupi;56313;64711;76374,,
170980 Ipueiras;-;1160;1634,,
