Abastecimento de água - Brasil,,
Moradores por Município e Ano,,
Período:1991,2000,2010
"Município;""1991"";""2000"";""2010""",,
315760 Santa Fé de Minas;4086;4148;3935,,
315765 Santa Helena de Minas;-;5239;6041,,
315770 Santa Juliana;7797;8052;11293,,
315780 Santa Luzia;136539;183940;202151,,
315790 Santa Margarida;12761;13623;14991,,
315800 Santa Maria de Itabira;10365;10228;10485,,
315810 Santa Maria do Salto;5293;5245;5262,,
315820 Santa Maria do Suaçuí;18218;14173;13903,,
315920 Santa Rita de Caldas;9215;9209;8972,,
315940 Santa Rita de Ibitipoca;4058;3828;3581,,
315930 Santa Rita de Jacutinga;5071;5173;4968,,
315935 Santa Rita de Minas;-;5756;6515,,
315950 Santa Rita do Itueto;6090;6019;5692,,
315960 Santa Rita do Sapucaí;26158;31112;37404,,
315970 Santa Rosa da Serra;2861;3075;3198,,
315980 Santa Vitória;16488;15969;17951,,
315830 Santana da Vargem;6842;7475;7225,,
315840 Santana de Cataguases;3530;3360;3618,,
315850 Santana de Pirapama;9162;8554;7952,,
315860 Santana do Deserto;3405;3708;3836,,
315870 Santana do Garambéu;1735;1975;2214,,
315880 Santana do Jacaré;3799;4369;4561,,
315890 Santana do Manhuaçu;9156;8546;8545,,
315895 Santana do Paraíso;-;18143;27191,,
315900 Santana do Riacho;3393;3607;3959,,
315910 Santana dos Montes;4135;3916;3803,,
315990 Santo Antônio do Amparo;13690;16071;17282,,
316000 Santo Antônio do Aventureiro;3489;3476;3530,,
316010 Santo Antônio do Grama;4576;4366;4073,,
316020 Santo Antônio do Itambé;4437;4569;4130,,
316030 Santo Antônio do Jacinto;11985;12055;11703,,
316040 Santo Antônio do Monte;17902;23338;25779,,
316045 Santo Antônio do Retiro;-;6620;6949,,
316050 Santo Antônio do Rio Abaixo;2092;1792;1765,,
316060 Santo Hipólito;3693;3447;3211,,
316070 Santos Dumont;44592;46633;46127,,
316080 São Bento Abade;2547;3698;4573,,
316090 São Brás do Suaçuí;3162;3268;3508,,
316095 São Domingos das Dores;-;5185;5402,,
316100 São Domingos do Prata;18635;17484;17265,,
316105 São Félix de Minas;-;3433;3369,,
316110 São Francisco;71971;51326;53558,,
316120 São Francisco de Paula;6139;6505;6447,,
316130 São Francisco de Sales;4937;5152;5725,,
316140 São Francisco do Glória;6361;5676;5148,,
316150 São Geraldo;7837;7697;10203,,
316160 São Geraldo da Piedade;5048;4964;4372,,
316165 São Geraldo do Baixio;-;2858;3481,,
316170 São Gonçalo do Abaeté;9619;5351;6233,,
316180 São Gonçalo do Pará;7538;7946;10373,,
316190 São Gonçalo do Rio Abaixo;8299;8441;9765,,
312550 São Gonçalo do Rio Preto;2986;2944;3036,,
316200 São Gonçalo do Sapucaí;19519;22190;23781,,
316210 São Gotardo;19593;27494;31684,,
316220 São João Batista do Glória;5289;6125;6839,,
316225 São João da Lagoa;-;4384;4648,,
316230 São João da Mata;2533;2732;2718,,
316240 São João da Ponte;32125;25765;25244,,
316245 São João das Missões;-;10087;11689,,
316250 São João del Rei;72337;78259;83905,,
316255 São João do Manhuaçu;-;8661;10232,,
316257 São João do Manteninha;-;4382;5156,,
316260 São João do Oriente;8153;8480;7864,,
316265 São João do Pacuí;-;3656;4043,,
316270 São João do Paraíso;28810;20875;22258,,
316280 São João Evangelista;15315;15461;15465,,
316290 São João Nepomuceno;21297;23664;24895,,
316292 São Joaquim de Bicas;-;18079;23238,,
316294 São José da Barra;-;6032;6746,,
316295 São José da Lapa;-;14970;19726,,
316300 São José da Safira;3678;3868;4071,,
316310 São José da Varginha;2684;3207;4191,,
316320 São José do Alegre;3320;3795;3989,,
316330 São José do Divino;4237;3823;3783,,
316340 São José do Goiabal;6111;5926;5594,,
316350 São José do Jacuri;10971;6776;6531,,
316360 São José do Mantimento;2224;2379;2574,,
316370 São Lourenço;29624;36597;41342,,
316380 São Miguel do Anta;6297;6617;6748,,
316390 São Pedro da União;5041;5489;5009,,
316410 São Pedro do Suaçuí;9214;6072;5545,,
316400 São Pedro dos Ferros;10260;9210;8303,,
316420 São Romão;14040;7606;10194,,
316430 São Roque de Minas;6258;6222;6614,,
316440 São Sebastião da Bela Vista;3857;4296;4909,,
316443 São Sebastião da Vargem Alegre;-;2549;2793,,
316447 São Sebastião do Anta;-;4753;5733,,
316450 São Sebastião do Maranhão;12800;11567;10594,,
316460 São Sebastião do Oeste;5056;4595;5778,,
316470 São Sebastião do Paraíso;48745;57961;64618,,
316480 São Sebastião do Rio Preto;2110;1770;1606,,
316490 São Sebastião do Rio Verde;1802;1968;2105,,
316520 São Thomé das Letras;5645;5920;6575,,
316500 São Tiago;9614;10222;10524,,
316510 São Tomás de Aquino;6865;7261;7053,,
316530 São Vicente de Minas;5396;6148;6988,,
316540 Sapucaí-Mirim;4264;5411;6222,,
316550 Sardoá;4268;4748;5565,,
316553 Sarzedo;-;17213;25772,,
316556 Sem-Peixe;-;3167;2845,,
316557 Senador Amaral;-;5056;5204,,
316560 Senador Cortes;1838;1997;1987,,
316570 Senador Firmino;6227;6560;7187,,
316580 Senador José Bento;2013;2334;1865,,
316590 Senador Modestino Gonçalves;5275;5130;4542,,
316600 Senhora de Oliveira;5071;5633;5660,,
316610 Senhora do Porto;3698;3491;3487,,
316620 Senhora dos Remédios;9619;9969;10178,,
316630 Sericita;6367;6982;7123,,
316640 Seritinga;1716;1730;1787,,
316650 Serra Azul de Minas;3874;4121;4208,,
316660 Serra da Saudade;848;848;812,,
316680 Serra do Salitre;7912;9265;10496,,
316670 Serra dos Aimorés;10187;8088;8391,,
316690 Serrania;6857;7420;7496,,
316695 Serranópolis de Minas;-;4032;4419,,
316700 Serranos;2030;2047;1986,,
316710 Serro;19219;20837;20684,,
316720 Sete Lagoas;142965;184176;213064,,
316555 Setubinha;-;9230;10844,,
316730 Silveirânia;2030;2132;2189,,
316740 Silvianópolis;5814;5777;5981,,
316750 Simão Pereira;2409;2469;2536,,
316760 Simonésia;16235;16749;18218,,
316770 Sobrália;6830;6273;5820,,
316780 Soledade de Minas;4929;5119;5580,,
316790 Tabuleiro;4352;4544;4070,,
316800 Taiobeiras;26594;27258;30789,,
316805 Taparuba;-;3196;3134,,
316810 Tapira;2938;3314;4099,,
316820 Tapiraí;2240;1890;1871,,
316830 Taquaraçu de Minas;3367;3483;3763,,
316840 Tarumirim;18028;14411;14193,,
316850 Teixeiras;9989;11089;11290,,
316860 Teófilo Otoni;139782;128421;133101,,
316870 Timóteo;57056;70999;81011,,
316880 Tiradentes;10175;5604;6869,,
316890 Tiros;8576;7484;6827,,
316900 Tocantins;12809;14971;15746,,
316905 Tocos do Moji;-;3814;3948,,
316910 Toledo;4650;5138;5717,,
316920 Tombos;9711;11514;9480,,
316930 Três Corações;56599;64933;71830,,
316935 Três Marias;20909;23275;28138,,
316940 Três Pontas;45575;50815;53672,,
316950 Tumiritinga;5371;5715;6274,,
316960 Tupaciguara;26298;22866;23877,,
316970 Turmalina;19371;15587;17966,,
316980 Turvolândia;3646;4193;4608,,
316990 Ubá;66032;84166;100997,,
317000 Ubaí;13883;10622;11624,,
317005 Ubaporanga;-;11525;12023,,
317010 Uberaba;210039;250339;292484,,
317020 Uberlândia;365398;499223;600575,,
317030 Umburatiba;2939;2843;2688,,
317040 Unaí;69207;68548;76396,,
317043 União de Minas;-;4601;4333,,
317047 Uruana de Minas;-;3234;3156,,
317050 Urucânia;10490;10321;10269,,
317052 Urucuia;-;9525;13573,,
317057 Vargem Alegre;-;6515;6432,,
317060 Vargem Bonita;2304;2198;2154,,
317065 Vargem Grande do Rio Pardo;-;4343;4731,,
317070 Varginha;87347;108417;122619,,
317075 Varjão de Minas;-;4648;6012,,
317080 Várzea da Palma;29279;31471;35694,,
317090 Varzelândia;27035;18719;19067,,
317100 Vazante;18594;18794;19577,,
317103 Verdelândia;-;7079;8276,,
317107 Veredinha;-;5223;5533,,
317110 Veríssimo;3053;2830;3247,,
317115 Vermelho Novo;-;4566;4682,,
317120 Vespasiano;53914;75587;104048,,
317130 Viçosa;51128;63991;71900,,
317140 Vieiras;3758;3923;3723,,
317160 Virgem da Lapa;13847;13599;13597,,
317170 Virgínia;8515;8649;8571,,
317180 Virginópolis;12058;10731;10492,,
317190 Virgolândia;6795;6045;5644,,
317200 Visconde do Rio Branco;28293;32489;37849,,
317210 Volta Grande;4476;4841;5044,,
317220 Wenceslau Braz;2487;2588;2547,,
320010 Afonso Cláudio;39865;32114;30939,,
320016 Água Doce do Norte;12690;12566;11722,,
320013 Águia Branca;9803;9523;9391,,
320020 Alegre;30263;31443;30608,,
320030 Alfredo Chaves;12617;13573;13943,,
320035 Alto Rio Novo;7488;6953;7311,,
320040 Anchieta;14792;19090;23796,,
320050 Apiacá;6989;7534;7508,,
320060 Aracruz;52245;64325;81416,,
320070 Atilio Vivacqua;6654;8230;9803,,
320080 Baixo Guandu;26880;27562;28889,,
320090 Barra de São Francisco;35450;37045;40087,,
320100 Boa Esperança;12403;13471;14072,,
320110 Bom Jesus do Norte;7890;9124;9385,,
320115 Brejetuba;-;11648;11872,,
320120 Cachoeiro de Itapemirim;142783;173915;188735,,
320130 Cariacica;273226;322879;347515,,
320140 Castelo;29450;32594;34665,,
320150 Colatina;106433;112079;110882,,
320160 Conceição da Barra;22165;26044;28352,,
320170 Conceição do Castelo;10474;10752;11636,,
320180 Divino de São Lourenço;4057;4816;4503,,
320190 Domingos Martins;35479;30371;31697,,
320200 Dores do Rio Preto;5245;6111;6378,,
320210 Ecoporanga;24297;23791;22660,,
320220 Fundão;10175;12774;16846,,
320225 Governador Lindenberg;-;-;10850,,
320230 Guaçuí;21882;24793;27652,,
320240 Guarapari;60898;87952;104655,,
320245 Ibatiba;15458;18923;22311,,
320250 Ibiraçu;9388;10107;11170,,
320255 Ibitirama;7619;9096;8939,,
320260 Iconha;10154;11453;12482,,
320265 Irupi;-;10082;11628,,
320270 Itaguaçu;13322;14453;14104,,
320280 Itapemirim;44233;27737;30895,,
320290 Itarana;10368;11357;10863,,
320300 Iúna;32250;25985;27264,,
320305 Jaguaré;16969;19390;24597,,
320310 Jerônimo Monteiro;8879;10140;10848,,
320313 João Neiva;13464;15228;15772,,
320316 Laranja da Terra;10622;10809;10800,,
320320 Linhares;119211;111858;139696,,
320330 Mantenópolis;13922;12099;13394,,
320332 Marataízes;-;30503;34019,,
320334 Marechal Floriano;-;12084;14196,,
320335 Marilândia;8967;9902;11096,,
320340 Mimoso do Sul;23959;25988;25715,,
320350 Montanha;17988;17197;17717,,
320360 Mucurici;11282;5865;5641,,
320370 Muniz Freire;20136;19638;18375,,
320380 Muqui;13543;13384;14304,,
320390 Nova Venécia;47330;42761;45661,,
320400 Pancas;20922;20096;21506,,
320405 Pedro Canário;21043;21755;23726,,
320410 Pinheiros;20686;21186;23813,,
320420 Piúma;9349;14747;18019,,
320425 Ponto Belo;-;6252;6908,,
320430 Presidente Kennedy;9383;9501;10249,,
320435 Rio Bananal;15351;16182;17480,,
320440 Rio Novo do Sul;9987;11231;11309,,
320450 Santa Leopoldina;11041;12371;12199,,
320455 Santa Maria de Jetibá;23193;28630;34122,,
320460 Santa Teresa;29203;20479;21779,,
320465 São Domingos do Norte;-;7501;7974,,
320470 São Gabriel da Palha;30060;26463;31647,,
320480 São José do Calçado;10142;10467;10351,,
320490 São Mateus;73545;89274;108398,,
320495 São Roque do Canaã;-;10342;11242,,
320500 Serra;221083;319652;407587,,
320501 Sooretama;-;18137;23789,,
320503 Vargem Alta;13013;17319;19033,,
320506 Venda Nova do Imigrante;11988;16101;20413,,
320510 Viana;43661;52674;62407,,
320515 Vila Pavão;-;8256;8621,,
320517 Vila Valério;-;13745;13791,,
320520 Vila Velha;264223;344651;411527,,
320530 Vitória;257334;290880;325495,,
330010 Angra dos Reis;84810;118642;168844,,
330015 Aperibé;-;8002;10181,,
330020 Araruama;58621;82288;111394,,
330022 Areal;-;9840;11387,,
330023 Armação dos Búzios;-;17928;27347,,
330025 Arraial do Cabo;19788;23778;27593,,
330030 Barra do Piraí;78306;88059;94482,,
330040 Barra Mansa;171629;170313;177458,,
330045 Belford Roxo;-;431586;468844,,
330050 Bom Jardim;20482;22455;25156,,
330060 Bom Jesus do Itabapoana;29633;33305;35163,,
330070 Cabo Frio;84130;126102;185274,,
330080 Cachoeiras de Macacu;40136;48388;54181,,
330090 Cambuci;20946;14577;14776,,
330100 Campos dos Goytacazes;387641;405137;460853,,
330110 Cantagalo;19523;19703;19737,,
330093 Carapebus;-;8634;13312,,
330115 Cardoso Moreira;-;12586;12472,,
330120 Carmo;14042;14803;17190,,
330130 Casimiro de Abreu;33640;21700;35165,,
330095 Comendador Levy Gasparian;-;7899;8162,,
330140 Conceição de Macabu;16708;18539;21017,,
330150 Cordeiro;20737;18562;20410,,
330160 Duas Barras;9843;10277;10894,,
330170 Duque de Caxias;666426;772998;853747,,
330180 Engenheiro Paulo de Frontin;11911;12101;13161,,
330185 Guapimirim;-;37775;51375,,
330187 Iguaba Grande;-;15022;22816,,
330190 Itaboraí;161970;185931;217549,,
330200 Itaguaí;112642;81729;108873,,
330205 Italva;12742;12597;14046,,
330210 Itaocara;22827;22835;22778,,
330220 Itaperuna;77286;86221;94967,,
330225 Itatiaia;15960;24352;28618,,
330227 Japeri;-;83031;93235,,
330230 Laje do Muriaé;7438;7852;7457,,
330240 Macaé;100409;131619;205996,,
330245 Macuco;-;4696;5263,,
330250 Magé;191095;205017;226137,,
330260 Mangaratiba;17560;24438;36284,,
330270 Maricá;46260;76287;127117,,
330280 Mendes;16531;17201;17900,,
330285 Mesquita;-;-;168259,,
330290 Miguel Pereira;19361;23670;24512,,
330300 Miracema;24949;26947;26757,,
330310 Natividade;21714;14995;15008,,
330320 Nilópolis;157901;153397;157242,,
330330 Niterói;432054;456377;483053,,
330340 Nova Friburgo;165567;172158;181139,,
330350 Nova Iguaçu;1295211;917519;795185,,
330360 Paracambi;34172;38716;45915,,
330370 Paraíba do Sul;33581;37113;40921,,
330380 Paraty;23637;28896;36752,,
330385 Paty do Alferes;20823;24714;26236,,
330390 Petrópolis;252600;284092;294470,,
330395 Pinheiral;-;19300;22663,,
330400 Piraí;33602;22056;25940,,
330410 Porciúncula;14464;15813;17685,,
330411 Porto Real;-;12047;16531,,
330412 Quatis;-;10684;12702,,
330414 Queimados;-;121313;137741,,
330415 Quissamã;10461;13651;20182,,
330420 Resende;91628;103906;119424,,
330430 Rio Bonito;44146;48923;54929,,
330440 Rio Claro;13648;16137;17343,,
330450 Rio das Flores;6315;7612;8530,,
330452 Rio das Ostras;-;36161;105252,,
330455 Rio de Janeiro;5428479;5807426;6263475,,
330460 Santa Maria Madalena;10811;10430;10273,,
330470 Santo Antônio de Pádua;39421;38496;40421,,
330480 São Fidélis;34485;36674;37414,,
330475 São Francisco de Itabapoana;-;40911;41173,,
330490 São Gonçalo;777760;887820;997469,,
330500 São João da Barra;59139;27408;32584,,
330510 São João de Meriti;424944;448531;458310,,
330513 São José de Ubá;-;6403;6994,,
330515 São José do Vale do Rio Preto;15387;19208;20179,,
330520 São Pedro da Aldeia;50208;63005;87653,,
330530 São Sebastião do Alto;8089;8394;8871,,
330540 Sapucaia;15334;17121;17486,,
330550 Saquarema;37718;51966;73948,,
330555 Seropédica;-;64905;77460,,
330560 Silva Jardim;18090;21138;21290,,
330570 Sumidouro;12945;14114;14846,,
330575 Tanguá;-;25920;30474,,
330580 Teresópolis;120083;137211;163124,,
330590 Trajano de Moraes;10597;9964;10227,,
330600 Três Rios;80826;71695;77085,,
330610 Valença;60528;65894;71405,,
330615 Varre-Sai;-;7845;9444,,
330620 Vassouras;28351;31079;34180,,
330630 Volta Redonda;219591;241425;257124,,
350010 Adamantina;31893;33150;33471,,
350020 Adolfo;3271;3677;3556,,
350030 Aguaí;23260;27983;32016,,
350040 Águas da Prata;6616;7047;7503,,
350050 Águas de Lindóia;11689;15960;17116,,
350055 Águas de Santa Bárbara;5831;5059;5577,,
350060 Águas de São Pedro;1614;1848;2680,,
350070 Agudos;31484;31996;34237,,
350075 Alambari;-;3627;4862,,
350080 Alfredo Marcondes;3482;3692;3877,,
350090 Altair;3230;3471;3788,,
350100 Altinópolis;13534;15321;15519,,
350110 Alto Alegre;4761;4212;4101,,
350115 Alumínio;-;15193;16766,,
350120 Álvares Florence;5049;4297;3896,,
350130 Álvares Machado;18797;22602;23464,,
350140 Álvaro de Carvalho;3096;3290;3287,,
350150 Alvinlândia;2532;2830;2995,,
350160 Americana;152786;181503;209754,,
350170 Américo Brasiliense;20039;28145;34339,,
350180 Américo de Campos;5590;5578;5697,,
350190 Amparo;50194;60013;65510,,
350200 Analândia;3012;3552;4257,,
350210 Andradina;51756;54150;54208,,
350220 Angatuba;20935;19227;22134,,
350230 Anhembi;3443;4483;5561,,
350240 Anhumas;3224;3374;3715,,
350250 Aparecida;32538;34301;34628,,
350260 Aparecida d'Oeste;5087;4918;4419,,
350270 Apiaí;34836;27001;25039,,
350275 Araçariguama;-;11018;16913,,
350280 Araçatuba;158842;168641;180517,,
350290 Araçoiaba da Serra;14388;19661;27162,,
350300 Aramina;4060;4721;5146,,
350310 Arandu;5613;6035;6078,,
350315 Arapeí;-;2618;2479,,
350320 Araraquara;165210;180910;206560,,
350330 Araras;86669;103145;117774,,
350335 Arco-Íris;-;2155;1921,,
350340 Arealva;6828;7212;7818,,
350350 Areias;3258;3537;3644,,
350360 Areiópolis;9953;10283;10553,,
350370 Ariranha;5838;7456;8530,,
350380 Artur Nogueira;27693;32996;44102,,
350390 Arujá;37292;58391;74608,,
350395 Aspásia;-;1855;1808,,
350400 Assis;84808;86170;93109,,
350410 Atibaia;85396;109986;125429,,
350420 Auriflama;12685;13465;14142,,
350430 Avaí;4584;4477;4913,,
350440 Avanhandava;7965;8829;10125,,
350450 Avaré;59910;74212;80874,,
350460 Bady Bassitt;5711;11528;14587,,
350470 Balbinos;1200;1313;1357,,
350480 Bálsamo;6769;7334;8149,,
350490 Bananal;11231;9625;10140,,
350500 Barão de Antonina;3026;2759;3108,,
350510 Barbosa;5357;5829;6452,,
350520 Bariri;24427;28107;31457,,
350530 Barra Bonita;30626;35330;35147,,
350535 Barra do Chapéu;-;4827;5242,,
350540 Barra do Turvo;6701;7849;7650,,
350550 Barretos;94518;103037;111534,,
350560 Barrinha;18785;24134;28442,,
350570 Barueri;129582;207603;240046,,
350580 Bastos;19060;20509;20407,,
350590 Batatais;43545;50765;56202,,
350600 Bauru;257229;312112;339339,,
350610 Bebedouro;67130;74431;74730,,
350620 Bento de Abreu;2393;2388;2674,,
350630 Bernardino de Campos;9963;10620;10702,,
350635 Bertioga;-;29520;47304,,
350640 Bilac;5396;6021;7024,,
350650 Birigui;74516;94054;108291,,
350660 Biritiba-Mirim;17762;24393;28515,,
350670 Boa Esperança do Sul;11845;12500;13607,,
350680 Bocaina;7205;9320;10761,,
350690 Bofete;5658;7342;9612,,
350700 Boituva;22921;34036;48153,,
350710 Bom Jesus dos Perdões;9787;13150;19679,,
350715 Bom Sucesso de Itararé;-;3231;3561,,
350720 Borá;746;795;805,,
350730 Boracéia;3449;3739;4264,,
350740 Borborema;12061;13124;14442,,
350745 Borebi;-;1930;2280,,
350750 Botucatu;90134;107728;126717,,
350760 Bragança Paulista;108333;124107;145609,,
350770 Braúna;4239;4382;5014,,
350775 Brejo Alegre;-;2146;2539,,
350780 Brodowski;13761;17108;21046,,
350790 Brotas;14342;18776;21504,,
350800 Buri;14170;17387;18469,,
350810 Buritama;12645;13697;15328,,
350820 Buritizal;3735;3670;4042,,
350830 Cabrália Paulista;3788;4623;4353,,
350840 Cabreúva;18691;32836;41496,,
350850 Caçapava;65488;75707;84348,,
350860 Cachoeira Paulista;23063;26899;29895,,
350870 Caconde;17192;18202;18428,,
350880 Cafelândia;15162;15681;16515,,
350890 Caiabu;3845;4072;4064,,
350900 Caieiras;39015;71075;86314,,
350910 Caiuá;3336;4139;4888,,
350920 Cajamar;33369;50497;64030,,
350925 Cajati;-;28915;28275,,
350930 Cajobi;11132;9120;9754,,
350940 Cajuru;20111;20626;23244,,
350945 Campina do Monte Alegre;-;5192;5539,,
350950 Campinas;839420;959504;1072184,,
350960 Campo Limpo Paulista;45208;62725;73631,,
350970 Campos do Jordão;35952;43000;47221,,
350980 Campos Novos Paulista;3996;4179;4530,,
350990 Cananéia;10080;12165;12147,,
350995 Canas;-;3612;4382,,
351000 Cândido Mota;25328;29075;29731,,
351010 Cândido Rodrigues;2328;2608;2667,,
351015 Canitar;-;3480;4362,,
351020 Capão Bonito;52427;46381;45940,,
351030 Capela do Alto;10693;14195;17222,,
351040 Capivari;33980;40930;47893,,
351050 Caraguatatuba;52063;78348;99800,,
351060 Carapicuíba;282751;340711;368736,,
351070 Cardoso;12189;11553;11761,,
351080 Casa Branca;24150;24933;25968,,
351090 Cássia dos Coqueiros;2714;2857;2623,,
351100 Castilho;14567;14858;17486,,
351110 Catanduva;92662;105291;112178,,
351120 Catiguá;6259;6540;7101,,
351130 Cedral;5683;6649;7939,,
351140 Cerqueira César;12763;15044;17276,,
351150 Cerquilho;20016;29463;39380,,
351160 Cesário Lange;10212;11964;14538,,
351170 Charqueada;10697;12988;15069,,
355720 Chavantes;14088;12134;12053,,
351190 Clementina;4853;5369;7034,,
351200 Colina;15830;16517;17296,,
351210 Colômbia;5273;5610;5970,,
351220 Conchal;19204;22616;25148,,
351230 Conchas;11813;14763;16184,,
351240 Cordeirópolis;13285;17422;20974,,
351250 Coroados;5815;4363;5224,,
351260 Coronel Macedo;5734;5587;4994,,
351270 Corumbataí;3141;3774;3866,,
351280 Cosmópolis;36545;44158;58492,,
351290 Cosmorama;7807;7338;7180,,
351300 Cotia;106326;146399;199534,,
351310 Cravinhos;22469;28362;31615,,
351320 Cristais Paulista;5644;6558;7562,,
351330 Cruzália;5227;2605;2272,,
351340 Cruzeiro;68415;73220;76833,,
351350 Cubatão;89849;107855;118220,,
351360 Cunha;23389;22939;21742,,
351370 Descalvado;25572;28740;30695,,
351380 Diadema;304413;354765;385346,,
351385 Dirce Reis;-;1623;1689,,
351390 Divinolândia;11599;11813;11019,,
351400 Dobrada;6688;6986;7933,,
351410 Dois Córregos;18735;22428;24580,,
351420 Dolcinópolis;2091;2149;2093,,
351430 Dourado;7689;8585;8569,,
351440 Dracena;39517;40327;42022,,
351450 Duartina;11858;12428;12196,,
351460 Dumont;4960;6285;8131,,
351470 Echaporã;6304;6821;6299,,
351480 Eldorado;13064;14053;14602,,
351490 Elias Fausto;11578;13837;15570,,
351492 Elisiário;-;2574;3120,,
351495 Embaúba;-;2478;2422,,
351500 Embu das Artes;155571;204335;239857,,
351510 Embu-Guaçu;35986;55777;62393,,
351512 Emilianópolis;-;2888;3006,,
351515 Engenheiro Coelho;-;9665;15629,,
351518 Espírito Santo do Pinhal;36546;40073;41562,,
351519 Espírito Santo do Turvo;-;3665;4235,,
355730 Estiva Gerbi;-;8841;9996,,
351520 Estrela d'Oeste;8405;8219;8171,,
351530 Estrela do Norte;2762;2615;2639,,
351535 Euclides da Cunha Paulista;-;9542;9434,,
351540 Fartura;14103;14773;15211,,
351560 Fernando Prestes;5140;5408;5518,,
351550 Fernandópolis;55933;61458;64461,,
351565 Fernão;-;1423;1562,,
351570 Ferraz de Vasconcelos;95159;141874;167989,,
351580 Flora Rica;2377;2177;1750,,
351590 Floreal;3545;3220;2996,,
351600 Flórida Paulista;12266;11058;11576,,
351610 Florínia;2989;3074;2828,,
351620 Franca;231650;286821;317514,,
351630 Francisco Morato;83493;133050;154114,,
351640 Franco da Rocha;80528;101389;123451,,
351650 Gabriel Monteiro;2450;2703;2705,,
351660 Gália;10391;7690;6945,,
351670 Garça;40867;42501;42752,,
351680 Gastão Vidigal;3833;3567;4183,,
351685 Gavião Peixoto;-;4092;4416,,
351690 General Salgado;12853;10710;10599,,
351700 Getulina;10052;9553;9589,,
351710 Glicério;4217;4412;4536,,
351720 Guaiçara;6355;9196;10644,,
351730 Guaimbê;5126;5190;5422,,
351740 Guaíra;30966;34528;37312,,
351750 Guapiaçu;10591;13816;17791,,
351760 Guapiara;18206;19630;17886,,
351770 Guará;16249;18843;19781,,
351780 Guaraçaí;8248;8849;8402,,
351790 Guaraci;7739;8776;9934,,
351800 Guarani d'Oeste;6705;1985;1970,,
351810 Guarantã;5506;5746;6379,,
351820 Guararapes;26553;28717;30527,,
351830 Guararema;17730;21699;25681,,
351840 Guaratinguetá;101569;103665;111482,,
351850 Guareí;8410;10136;11711,,
351860 Guariba;28794;30995;35338,,
351870 Guarujá;207991;263612;290033,,
351880 Guarulhos;781557;1064918;1213297,,
351885 Guatapará;-;6207;6932,,
351890 Guzolândia;5044;4283;4723,,
351900 Herculândia;7012;7966;8692,,
351905 Holambra;-;7184;11252,,
351907 Hortolândia;-;151579;188237,,
351910 Iacanga;7548;8190;9795,,
351920 Iacri;7028;6724;6410,,
351925 Iaras;-;2466;4514,,
351930 Ibaté;18801;26354;30652,,
351940 Ibirá;8680;9374;10871,,
351950 Ibirarema;5517;5697;6703,,
351960 Ibitinga;37995;46425;52988,,
351970 Ibiúna;48793;62938;70884,,
351980 Icém;6067;6734;7448,,
351990 Iepê;9961;7172;7577,,
352000 Igaraçu do Tietê;20833;22547;23261,,
352010 Igarapava;22241;25798;27807,,
352020 Igaratá;6169;8236;8793,,
352030 Iguape;27573;27042;28695,,
352042 Ilha Comprida;-;6207;8881,,
352044 Ilha Solteira;-;23888;24992,,
352040 Ilhabela;13198;20452;28005,,
352050 Indaiatuba;100419;146218;200921,,
352060 Indiana;4622;4929;4812,,
352070 Indiaporã;4731;4029;3852,,
352080 Inúbia Paulista;3277;3272;3590,,
352090 Ipaussu;11323;12521;13412,,
352100 Iperó;10479;17230;26416,,
352110 Ipeúna;2692;4187;5969,,
352115 Ipiguá;-;3432;4460,,
352120 Iporanga;4601;4494;4278,,
352130 Ipuã;10342;11838;14106,,
352140 Iracemápolis;11660;15487;19954,,
352150 Irapuã;6050;6640;7232,,
352160 Irapuru;8211;7433;6403,,
352170 Itaberá;17813;18727;17757,,
352180 Itaí;17568;20918;22557,,
352190 Itajobi;14935;14159;14505,,
352200 Itaju;2359;2637;3246,,
352210 Itanhaém;45637;71512;86758,,
352215 Itaóca;-;3146;3227,,
352220 Itapecerica da Serra;92663;128804;148930,,
352230 Itapetininga;104438;123225;140515,,
352240 Itapeva;81027;82117;87400,,
352250 Itapevi;107648;161888;200568,,
352260 Itapira;55958;62267;67467,,
352265 Itapirapuã Paulista;-;3510;3875,,
352270 Itápolis;32836;37618;39812,,
352280 Itaporanga;14264;14258;14419,,
352290 Itapuí;8978;10204;12138,,
352300 Itapura;3747;3727;4266,,
352310 Itaquaquecetuba;163595;271321;321224,,
352320 Itararé;43919;46367;47720,,
352330 Itariri;11578;13487;15403,,
352340 Itatiba;60983;80923;101096,,
352350 Itatinga;13157;15372;17960,,
352360 Itirapina;9574;11281;12738,,
352370 Itirapuã;5019;5320;5888,,
352380 Itobi;6742;7389;7464,,
352390 Itu;105793;134121;153342,,
352400 Itupeva;18097;26061;44734,,
352410 Ituverava;32887;36144;38583,,
352420 Jaborandi;6299;6379;6529,,
352430 Jaboticabal;58819;67055;70944,,
352440 Jacareí;163080;190033;210687,,
352450 Jaci;3227;3975;5478,,
352460 Jacupiranga;37930;16916;17146,,
352470 Jaguariúna;24506;29513;44158,,
352480 Jales;45722;46030;46878,,
352490 Jambeiro;3265;3968;5330,,
352500 Jandira;62555;91625;108230,,
352510 Jardinópolis;24003;30560;37565,,
352520 Jarinu;10789;16876;23790,,
352530 Jaú;93282;111471;130309,,
352540 Jeriquara;3249;3253;3160,,
352550 Joanópolis;8128;10321;11660,,
352560 João Ramalho;3032;3840;4131,,
352570 José Bonifácio;26372;28576;32634,,
